post,reply,comment,total,liked,test_grade,homework_grade,exam_grade,discussion_grade,final_grade,grade_level
0.0,2.0,0.0,2.0,0.0,79.0,191.76,40.32,20.0,48.7,3.0
1.0,5.0,0.0,6.0,0.0,31.0,158.83,46.5,50.0,48.57,3.0
1.0,8.0,0.0,9.0,1.0,67.82,126.5,44.0,30.0,48.4,3.0
0.0,2.0,0.0,2.0,0.0,82.5,128.75,41.5,20.0,48.2,3.0
0.0,7.0,0.0,7.0,2.0,97.98,238.3,0.0,70.0,46.88,3.0
1.0,10.0,1.0,12.0,0.0,56.66,79.34,48.0,40.0,46.42,3.0
0.0,2.0,0.0,2.0,0.0,53.5,98.5,52.0,20.0,46.27,3.0
0.0,2.0,0.0,2.0,0.0,60.32,221.83,32.0,20.0,45.86,3.0
0.0,2.0,0.0,2.0,0.0,149.82,242.5,0.0,20.0,44.09,3.0
0.0,3.0,0.0,3.0,0.0,90.26,171.0,23.0,30.0,42.46,3.0
0.0,2.0,0.0,2.0,0.0,28.0,53.25,56.0,20.0,42.19,3.0
0.0,3.0,0.0,3.0,1.0,121.82,274.67,0.0,20.0,41.95,3.0
3.0,3.0,0.0,6.0,0.0,46.5,131.0,49.0,0.0,40.61,3.0
2.0,3.0,2.0,7.0,3.0,144.82,164.5,0.0,20.0,39.32,3.0
4.0,3.0,3.0,10.0,3.0,104.78,0.0,38.82,0.0,37.38,3.0
0.0,2.0,0.0,2.0,0.0,140.32,131.75,0.0,20.0,35.85,3.0
0.0,2.0,0.0,2.0,1.0,107.82,205.5,0.0,20.0,35.8,3.0
0.0,10.0,0.0,10.0,0.0,91.32,85.92,0.0,60.0,32.65,3.0
0.0,2.0,0.0,2.0,0.0,102.32,142.04,0.0,20.0,31.74,3.0
0.0,2.0,0.0,2.0,0.0,95.0,185.75,0.0,20.0,31.61,3.0
4.0,5.0,3.0,12.0,2.0,131.94,134.5,0.0,0.0,30.02,3.0
0.0,2.0,0.0,2.0,1.0,118.64,134.0,0.0,20.0,29.6,3.0
0.0,2.0,0.0,2.0,1.0,0.0,27.0,48.0,20.0,29.5,3.0
0.0,2.0,0.0,2.0,0.0,110.62,119.5,0.0,20.0,29.13,3.0
0.0,3.0,0.0,3.0,0.0,66.0,122.5,0.0,30.0,27.97,3.0
1.0,6.0,0.0,7.0,6.0,163.0,0.0,0.0,0.0,27.13,3.0
0.0,2.0,0.0,2.0,0.0,53.42,60.34,20.5,20.0,26.49,3.0
0.0,2.0,0.0,2.0,0.0,82.46,102.5,0.0,20.0,23.97,3.0
0.0,0.0,0.0,0.0,0.0,87.0,139.0,0.0,10.0,23.01,3.0
0.0,2.0,0.0,2.0,0.0,46.0,0.0,20.0,20.0,22.62,3.0
2.0,9.0,3.0,14.0,2.0,62.5,83.25,0.0,30.0,19.92,3.0
1.0,7.0,0.0,8.0,1.0,24.0,70.25,0.0,60.0,19.9,3.0
0.0,3.0,0.0,3.0,0.0,27.0,84.75,0.0,30.0,18.38,3.0
0.0,2.0,0.0,2.0,0.0,49.14,108.33,0.0,20.0,18.22,3.0
0.0,2.0,0.0,2.0,0.0,36.98,127.25,0.0,20.0,17.75,3.0
2.0,5.0,0.0,7.0,0.0,20.0,23.75,0.0,50.0,16.58,3.0
0.0,2.0,0.0,2.0,0.0,71.32,39.75,0.0,20.0,16.37,3.0
0.0,3.0,0.0,3.0,0.0,43.32,66.0,0.0,20.0,14.66,3.0
0.0,3.0,0.0,3.0,0.0,21.0,104.75,0.0,10.0,14.18,3.0
0.0,3.0,0.0,3.0,0.0,41.0,28.5,0.0,30.0,13.6,3.0
0.0,2.0,0.0,2.0,3.0,36.0,63.5,0.0,20.0,13.6,3.0
0.0,2.0,0.0,2.0,0.0,45.64,43.0,0.0,20.0,13.08,3.0
1.0,1.0,0.0,2.0,2.0,36.64,69.2,0.0,10.0,12.1,3.0
0.0,3.0,0.0,3.0,0.0,25.32,29.0,0.0,30.0,12.04,3.0
0.0,2.0,0.0,2.0,15.0,30.0,50.0,0.0,20.0,11.5,3.0
0.0,11.0,0.0,11.0,0.0,40.0,39.67,0.0,20.0,11.48,3.0
0.0,3.0,0.0,3.0,0.0,22.5,25.75,0.0,30.0,10.96,3.0
0.0,3.0,0.0,3.0,0.0,24.0,9.5,0.0,20.0,10.79,3.0
0.0,2.0,0.0,2.0,0.0,18.0,30.0,0.0,20.0,10.67,3.0
0.0,2.0,0.0,2.0,0.0,24.5,39.75,0.0,20.0,10.08,3.0
0.0,2.0,0.0,2.0,0.0,24.0,29.5,0.0,20.0,9.63,3.0
0.0,2.0,0.0,2.0,0.0,25.0,21.25,0.0,20.0,9.29,3.0
0.0,2.0,0.0,2.0,0.0,18.82,35.25,0.0,20.0,9.06,3.0
0.0,1.0,1.0,2.0,0.0,18.0,34.25,0.0,10.0,8.96,3.0
0.0,2.0,0.0,2.0,0.0,18.5,28.25,0.0,20.0,8.91,3.0
0.0,2.0,0.0,2.0,0.0,25.0,13.0,0.0,20.0,8.67,3.0
1.0,4.0,1.0,6.0,4.0,18.0,58.75,0.0,10.0,8.6,3.0
0.0,3.0,0.0,3.0,0.0,10.0,0.0,0.0,30.0,8.5,3.0
1.0,2.0,0.0,3.0,0.0,10.0,38.0,0.0,20.0,8.08,3.0
0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,40.0,8.0,3.0
0.0,2.0,0.0,2.0,0.0,21.16,0.0,0.0,20.0,7.77,3.0
0.0,0.0,0.0,0.0,0.0,22.5,32.5,0.0,10.0,7.65,3.0
0.0,2.0,0.0,2.0,0.0,10.0,19.5,0.0,20.0,7.31,3.0
0.0,2.0,0.0,2.0,5.0,10.0,0.0,0.0,20.0,6.5,3.0
0.0,2.0,0.0,2.0,0.0,4.0,33.0,0.0,20.0,6.38,3.0
0.0,2.0,0.0,2.0,0.0,13.98,0.0,0.0,20.0,6.37,3.0
0.0,2.0,0.0,2.0,0.0,9.0,0.0,0.0,20.0,6.25,3.0
0.0,2.0,0.0,2.0,0.0,9.0,0.0,0.0,20.0,6.25,3.0
0.0,2.0,0.0,2.0,0.0,11.16,0.0,0.0,20.0,6.02,3.0
4.0,76.0,3.0,83.0,66.0,0.0,0.0,0.0,30.0,6.0,3.0
0.0,2.0,0.0,2.0,1.0,10.0,19.0,0.0,10.0,5.29,3.0
0.0,0.0,0.0,0.0,0.0,10.0,13.5,0.0,10.0,5.06,3.0
0.0,0.0,0.0,0.0,0.0,26.98,20.0,0.0,0.0,4.83,3.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,4.5,3.0
0.0,1.0,1.0,2.0,0.0,9.0,0.0,0.0,10.0,4.25,3.0
0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,4.13,3.0
0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,4.0,3.0
0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,4.0,3.0
0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,4.0,3.0
2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,20.0,4.0,3.0
1.0,2.0,0.0,3.0,0.0,7.0,5.0,0.0,10.0,3.96,3.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,2.75,3.0
1.0,1.0,3.0,5.0,0.0,8.0,14.0,0.0,0.0,2.58,3.0
0.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,2.29,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
7.0,28.0,9.0,44.0,27.0,0.0,0.0,0.0,10.0,2.0,3.0
